time,density,kinetic_energy,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,solver_iterations,relaxation_factor,time_step_wall_clock_time,predicted_density_error
9.64,900.4555793720687,211.10789886105252,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013940581,0.052853642989702444
9.65,900.4791133471418,208.6075555995442,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013508248,0.057163011175189016
9.66,900.5167400537657,206.30534617606196,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015462389,0.06237855868308019
9.67,900.5631473926857,204.5727155203108,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013578549,0.06771301370612552
9.68,900.6107173828779,203.58982276564043,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014500654,0.07275316018312844
9.69,900.6553272088473,203.4606690965721,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014868786,0.07691588351914598
9.700000000000001,900.693725011949,204.30189333399878,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013980721,0.08024126848805681
9.71,900.7239167981653,205.78554236998664,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013451068,0.08261259472468938
9.72,900.74537351389,207.72708693803594,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014847196,0.0840326463500038
9.73,900.7591425701122,209.76783980602755,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01392018,0.0847922864378002
9.74,900.7663969754846,211.6031613988617,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013679199,0.08497414319233765
9.75,900.7683787115398,213.111779184362,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014651785,0.0847829097891294
9.76,900.7667146526945,214.18644143030087,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014090621,0.0843538304391158
9.77,900.7632338551783,215.0827763709652,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014232522,0.08396350199197018
9.78,900.7599065798823,215.92950243612182,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015800012,0.0837325748822951
9.790000000000001,900.7579200634583,217.02574659709205,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013933771,0.08374464508332934
9.8,900.7578636103908,218.27052741492858,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014360884,0.08400930696821576
9.81,900.7602522490726,219.57697049114418,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015046408,0.08428349071749994
9.82,900.7625428943454,221.2939763469254,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013593519,0.08437101599315718
9.83,900.7630996313511,223.13618475251133,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013964121,0.08404458797676434
9.84,900.760279329593,224.8562426887869,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014666675,0.08354408301996338
9.85,900.7539430347267,225.90320016014925,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014008251,0.08178512622817857
9.86,900.7394100712248,227.16230336078888,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013287947,0.07949179108870043
9.870000000000001,900.7188830079464,227.8884381566946,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015727891,0.07672348063754504
9.88,900.6943466158568,227.94491181278983,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013994461,0.0739122177783511
9.89,900.6690983359266,227.27370245450513,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013550209,0.07123891316937249
9.9,900.64459298435,226.00144536134422,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015140477,0.06862563651084672
9.91,900.6215127162881,224.50919443375736,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014390614,0.06619388248858346
9.92,900.5990790502308,222.8167647020001,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014193802,0.0638499065916809
9.93,900.5778216677592,221.0209110800335,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014805326,0.061644851693357
9.94,900.5577027820111,219.20983387265215,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01379637,0.05961447152609677
9.950000000000001,900.5393150400611,217.39893466658535,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014055732,0.05782626911949397
9.96,900.5230159035344,215.57891123381097,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015080237,0.05638773256594924
9.97,900.5100347378777,213.71822065861232,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015296959,0.05553007910571238
9.98,900.5018226967991,212.01730345977325,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014833336,0.055236983968662376
