time,density,kinetic_energy,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,solver_iterations
7.930000000000001,900.0960405229126,214.098869974353,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.9350000000000005,900.093846173484,214.50114326028432,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.94,900.091842429079,214.84391661251814,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.945,900.090162383448,215.01493476299174,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.95,900.0887691257649,215.16308406175654,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.955,900.0877544342969,215.2020671449285,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.96,900.0871685393345,215.0589929630708,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.965,900.0869815775023,214.6786067380671,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.97,900.0869338819481,214.38177556456432,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.9750000000000005,900.0869644792941,214.11227517963496,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.98,900.0868870098402,213.8919388825334,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.985,900.0866628676396,213.68996734024714,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.99,900.0862684828788,213.49040110125225,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
7.995,900.0858385834306,213.20774629307886,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.0,900.0858399780615,212.3881707419343,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.005,900.0853341841001,212.2213508175617,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.01,900.0845735605095,212.09214275675737,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.015,900.0837436365498,211.956534830711,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.02,900.0826987974968,211.87197558138658,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.025,900.0815758203387,211.80459407168564,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.03,900.0804767503718,211.74819842271802,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.035,900.0794655281169,211.69779399444232,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.040000000000001,900.0786830138815,211.65432226150034,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.045,900.0781301953307,211.62411868745016,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.05,900.0779870373796,211.48937113418026,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.055,900.0781373551158,211.3561337464306,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.06,900.0784980061943,211.13973102185668,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.065,900.0787814337606,211.0574004534357,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.07,900.0790459241837,210.95840769104498,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.075,900.0795867125876,210.76639690934965,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.08,900.079974837867,210.59265819190182,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.085,900.0804099520599,210.33578015020896,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.09,900.0808861450146,210.0697078822314,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.095,900.0814027185041,209.76821446522524,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.1,900.0821112157863,209.43788662854988,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.105,900.0827781024736,209.12336332270553,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.11,900.083514555916,208.77482630308776,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.115,900.0842662611675,208.41219904418728,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.120000000000001,900.0850120668151,208.11475366881828,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.125,900.085436528714,208.01456513054453,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.13,900.0856978433401,207.9971837187061,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.135,900.0857250940338,208.03983153739793,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.14,900.0855630320635,208.1385308091981,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.145,900.0852864659569,208.28571475902638,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.15,900.0849769498841,208.4822085014696,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.155,900.085531565803,208.2628340069244,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.16,900.0856194780957,208.49565413808008,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.165000000000001,900.085562159991,208.82916759808086,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.17,900.0856073284244,209.22352808201447,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.175,900.0855982533959,209.75533482669132,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.18,900.0855220703136,210.36808898097595,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.185,900.0854899094804,211.03755941654995,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.19,900.0853699220419,211.83139695687,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.195,900.0850984256225,212.670712477404,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.2,900.0845797216415,213.42615442866534,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.205,900.0837963887848,214.13189407528225,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.21,900.0826610624499,214.74855291859524,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.215,900.0813584262997,215.2141660889828,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.22,900.0801191890547,215.5228223056054,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.225,900.0790811069214,215.67495235989261,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.23,900.0786416445186,215.5256559632593,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.235,900.078716089888,215.35924150170914,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.24,900.0791323603924,215.20778111514872,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.245000000000001,900.0797443805121,214.9641745590964,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.25,900.0806153505397,214.59465615893973,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.255,900.0815617416383,214.2337723778133,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.26,900.0821874264254,213.93656721455272,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.265,900.082695328377,213.663587514852,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.27,900.0829920454363,213.38642749125844,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.275,900.0830951777355,213.12711432491926,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.28,900.0832568688254,212.845274971591,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.285,900.0836597854394,212.5526963897559,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.290000000000001,900.0842168241702,212.33442268124145,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.295,900.0850942004627,212.16066750077562,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.3,900.0863347062401,212.05125274140536,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.305,900.087982853078,211.9642450033029,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.31,900.0899783900113,211.9343318875005,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.315,900.0918929820331,212.03020445017245,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.32,900.0936316328568,212.23571295997286,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.325,900.0950182625324,212.50489906227835,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.33,900.0959005472223,212.85844519850593,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.335,900.0963101168601,213.29143709563002,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.34,900.0962328345261,213.8009319504492,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.345,900.0958045286746,214.37245151375927,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.35,900.0951347067358,214.98351997335197,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.355,900.0942802204235,215.5949280956925,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.36,900.0934738873353,216.1982206813381,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.365,900.092583418831,216.75522919668109,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
